condition_mesh_terms	Days	MeshSystem
Carcinoma	518	Neoplasms
Squamous Cell Carcinoma of Head and Neck	518	Neoplasms
Schizophrenia	426	Mental Disorders
Conjunctivitis	245	Eye
Anemia	979	Hemic and Lymphatic
Peripheral Nervous System Diseases	354	Nervous System
Arthritis	463	Musculoskeletal
Migraine Disorders	785	Nervous System
Sarcoma	1064	Neoplasms
Glioblastoma	1096	Neoplasms
Depressive Disorder	337	Mental Disorders
Heart Failure	334	Cardiovascular
Carcinoma	1594	Neoplasms
Cholangiocarcinoma	1594	Neoplasms
Psoriasis	515	Skin and Connective Tissue
Anemia	902	Hemic and Lymphatic
Hypercholesterolemia	306	Nutritional and Metabolic
Migraine Disorders	245	Nervous System
Glaucoma	151	Eye
Ocular Hypertension	151	Eye
Hypertension	151	Cardiovascular
Attention Deficit Disorder with Hyperactivity	184	Mental Disorders
Parkinson Disease	2006	Nervous System
Carcinoma	1615	Neoplasms
Peripheral Nervous System Diseases	365	Nervous System
Hepatitis	334	Digestive System
Dermatitis	245	Skin and Connective Tissue
Eczema	245	Skin and Connective Tissue
Osteoarthritis	385	Musculoskeletal
Psoriasis	273	Skin and Connective Tissue
Hypertension	488	Cardiovascular
Coronary Artery Disease	1581	Cardiovascular
Myocardial Ischemia	1581	Cardiovascular
Coronary Disease	1581	Cardiovascular
Leukemia	1685	Neoplasms
Hypercholesterolemia	306	Nutritional and Metabolic
Hypertension	275	Cardiovascular
Schizophrenia	212	Mental Disorders
Anemia	183	Hemic and Lymphatic
Acne Vulgaris	214	Skin and Connective Tissue
Irritable Bowel Syndrome	640	Digestive System
Tuberculosis	1343	Infections
Lung Diseases	1016	Respiratory Tract
Leukemia	1492	Neoplasms
Myelodysplastic Syndromes	1492	Hemic and Lymphatic
Myeloproliferative Disorders	1492	Hemic and Lymphatic
Neoplasms	1492	Neoplasms
Keratosis	1096	Skin and Connective Tissue
Head and Neck Neoplasms	518	Neoplasms
Schizophrenia	365	Mental Disorders
Hypercholesterolemia	275	Nutritional and Metabolic
Dermatitis	610	Skin and Connective Tissue
Eczema	610	Skin and Connective Tissue
Psoriasis	242	Skin and Connective Tissue
Leukemia	1743	Neoplasms
Carcinoma	669	Neoplasms
Virus Diseases	122	Infections
Anemia	1303	Hemic and Lymphatic
Depressive Disorder	700	Mental Disorders
Parkinson Disease	518	Nervous System
Leukemia	1539	Neoplasms
Hypersensitivity	1614	Immune System
Anemia	1247	Hemic and Lymphatic
Thrombocytopenia	1247	Hemic and Lymphatic
Anemia	664	Hemic and Lymphatic
Myeloproliferative Disorders	1630	Hemic and Lymphatic
Neoplasms	1630	Neoplasms
Melanoma	881	Neoplasms
Liver Diseases	365	Digestive System
Fatty Liver	365	Digestive System
Non-alcoholic Fatty Liver Disease	365	Digestive System
Adenocarcinoma	1538	Neoplasms
Glioblastoma	1362	Neoplasms
Glioma	1362	Neoplasms
Depressive Disorder	1277	Mental Disorders
Irritable Bowel Syndrome	455	Digestive System
Dermatitis	1065	Skin and Connective Tissue
Eczema	1065	Skin and Connective Tissue
Anemia	549	Hemic and Lymphatic
Autistic Disorder	607	Mental Disorders
Adenocarcinoma	1419	Neoplasms
Neoplasms	1419	Neoplasms
Irritable Bowel Syndrome	365	Digestive System
Conjunctivitis	150	Eye
Malaria	1065	Infections
Malaria	488	Infections
Leukemia	1544	Neoplasms
Myelodysplastic Syndromes	1544	Hemic and Lymphatic
Hepatitis	516	Digestive System
Hypersensitivity	1293	Immune System
Lung Diseases	183	Respiratory Tract
Carcinoma	776	Neoplasms
Coronary Artery Disease	1127	Cardiovascular
Melanoma	1469	Neoplasms
Neoplasms	1469	Neoplasms
Glaucoma	306	Eye
Virus Diseases	123	Infections
Tuberculosis	1354	Infections
Carcinoma	840	Neoplasms
Metabolic Syndrome	518	Nutritional and Metabolic
Hypersensitivity	518	Immune System
Melanoma	1579	Neoplasms
Carcinoma	1368	Neoplasms
Coronary Artery Disease	457	Cardiovascular
Myocardial Ischemia	457	Cardiovascular
Coronary Disease	457	Cardiovascular
Hypercholesterolemia	244	Nutritional and Metabolic
Keratoconjunctivitis Sicca	638	Eye
Dry Eye Syndromes	638	Eye
Hepatitis	534	Digestive System
Dermatitis	365	Skin and Connective Tissue
Eczema	365	Skin and Connective Tissue
Melanoma	702	Neoplasms
Hepatitis	396	Digestive System
Liver Diseases	396	Digestive System
Keratosis	304	Skin and Connective Tissue
Myelodysplastic Syndromes	2043	Hemic and Lymphatic
Osteoarthritis	487	Musculoskeletal
Schizophrenia	1188	Mental Disorders
Psychotic Disorders	1188	Mental Disorders
Cognitive Dysfunction	1188	Mental Disorders
Hepatitis	346	Digestive System
Psoriasis	153	Skin and Connective Tissue
Cognitive Dysfunction	212	Mental Disorders
Osteoarthritis	923	Musculoskeletal
Osteoarthritis	365	Musculoskeletal
Leukemia	1409	Neoplasms
Arthritis	3775	Musculoskeletal
Melanoma	1675	Neoplasms
Hypercholesterolemia	275	Nutritional and Metabolic
Neuroendocrine Tumors	1323	Neoplasms
Leukemia	120	Neoplasms
Keratoconjunctivitis Sicca	488	Eye
Dry Eye Syndromes	488	Eye
Depressive Disorder	975	Mental Disorders
Leukemia	1690	Neoplasms
Neoplasms	1690	Neoplasms
Neoplasms	915	Neoplasms
Osteoarthritis	579	Musculoskeletal
Adenocarcinoma	1065	Neoplasms
Hepatitis	915	Digestive System
Macular Degeneration	761	Eye
Macular Edema	761	Eye
Heart Failure	930	Cardiovascular
Glioblastoma	1430	Neoplasms
Keratosis	365	Skin and Connective Tissue
Carcinoma	1127	Neoplasms
Macular Degeneration	791	Eye
Macular Degeneration	304	Eye
Osteoarthritis	1006	Musculoskeletal
Carcinoma	1553	Neoplasms
Metabolic Syndrome	1552	Nutritional and Metabolic
Primary Myelofibrosis	1681	Hemic and Lymphatic
Myeloproliferative Disorders	731	Hemic and Lymphatic
Neoplasms	731	Neoplasms
Hepatitis	487	Digestive System
Keratosis	153	Skin and Connective Tissue
Anemia	214	Hemic and Lymphatic
Hypersensitivity	1581	Immune System
Colitis	1178	Digestive System
Glaucoma	1188	Eye
Ocular Hypertension	1188	Eye
Hypertension	1188	Cardiovascular
Heart Failure	1734	Cardiovascular
Psoriasis	610	Skin and Connective Tissue
Neoplasms	828	Neoplasms
Lung Diseases	383	Respiratory Tract
Psoriasis	826	Skin and Connective Tissue
Neuroendocrine Tumors	700	Neoplasms
Depressive Disorder	619	Mental Disorders
Hepatitis	598	Digestive System
Cognitive Dysfunction	700	Mental Disorders
Premature Birth	884	Female
Virus Diseases	1038	Infections
Glaucoma	244	Eye
Ocular Hypertension	244	Eye
Hypertension	244	Cardiovascular
Carcinoma	1280	Neoplasms
Neoplasms	609	Neoplasms
Depressive Disorder	881	Mental Disorders
Glaucoma	153	Eye
Ocular Hypertension	153	Eye
Hypertension	153	Cardiovascular
Macular Edema	762	Eye
Arthritis	488	Musculoskeletal
Osteoarthritis	974	Musculoskeletal
Dermatitis	304	Skin and Connective Tissue
Glaucoma	605	Eye
Ocular Hypertension	605	Eye
Hypertension	605	Cardiovascular
Graft vs Host Disease	641	Immune System
Leukemia	2672	Neoplasms
Hypertension	395	Cardiovascular
Hypercholesterolemia	395	Nutritional and Metabolic
Carcinoma	1673	Neoplasms
Tuberculosis	214	Infections
Glaucoma	214	Eye
Ocular Hypertension	214	Eye
Hypertension	214	Cardiovascular
Psoriasis	183	Skin and Connective Tissue
Sarcoma	1815	Neoplasms
Neoplasms	1815	Neoplasms
Depressive Disorder	698	Mental Disorders
Anemia	1064	Hemic and Lymphatic
Macular Degeneration	456	Eye
Cholangiocarcinoma	1027	Neoplasms
Macular Degeneration	243	Eye
Hepatitis	1737	Digestive System
Hepatitis	403	Digestive System
Melanoma	580	Neoplasms
Adenocarcinoma	1218	Neoplasms
Osteoarthritis	213	Musculoskeletal
Melanoma	1564	Neoplasms
Glioblastoma	1461	Neoplasms
Leukemia	3136	Neoplasms
Heart Failure	396	Cardiovascular
Melanoma	2203	Neoplasms
Keratosis	183	Skin and Connective Tissue
Schizophrenia	1007	Mental Disorders
Hepatitis	822	Digestive System
Myelodysplastic Syndromes	639	Hemic and Lymphatic
Graft vs Host Disease	639	Immune System
Psoriasis	426	Skin and Connective Tissue
Heart Failure	1004	Cardiovascular
Hepatitis	1406	Digestive System
Malaria	426	Infections
Migraine Disorders	1061	Nervous System
Migraine Disorders	943	Nervous System
Hepatitis	507	Digestive System
Graft vs Host Disease	1492	Immune System
Depressive Disorder	1280	Mental Disorders
Osteoarthritis	700	Musculoskeletal
Arthritis	395	Musculoskeletal
Anemia	1140	Hemic and Lymphatic
Depressive Disorder	853	Mental Disorders
Sarcoma	396	Neoplasms
Conjunctivitis	955	Eye
Mesothelioma	1693	Neoplasms
Carcinoma	1693	Neoplasms
Neoplasms	1693	Neoplasms
Thrombocytopenia	457	Hemic and Lymphatic
Depressive Disorder	580	Mental Disorders
Neoplasms	1326	Neoplasms
Metabolic Syndrome	1537	Nutritional and Metabolic
Metabolic Syndrome	914	Nutritional and Metabolic
Cardiovascular Diseases	914	Cardiovascular
Carcinoma	4353	Neoplasms
Osteoarthritis	1096	Musculoskeletal
Squamous Cell Carcinoma of Head and Neck	1249	Neoplasms
Migraine Disorders	1316	Nervous System
Motor Neuron Disease	1187	Nervous System
Schizophrenia	705	Mental Disorders
Hepatitis	457	Digestive System
Hepatitis	853	Digestive System
Motor Neuron Disease	1996	Nervous System
Graft vs Host Disease	1523	Immune System
Tuberculosis	886	Infections
Epilepsy	304	Nervous System
Epilepsy	214	Nervous System
Leukemia	1358	Neoplasms
Myelodysplastic Syndromes	1358	Hemic and Lymphatic
Crohn Disease	884	Digestive System
Heart Diseases	274	Cardiovascular
Sarcoma	395	Neoplasms
Carcinoma	2496	Neoplasms
Hepatitis	654	Digestive System
Dermatitis	737	Skin and Connective Tissue
Psoriasis	1384	Skin and Connective Tissue
Schizophrenia	335	Mental Disorders
Attention Deficit Disorder with Hyperactivity	153	Mental Disorders
Carcinoma	761	Neoplasms
Autistic Disorder	1127	Mental Disorders
Tuberculosis	1203	Infections
Hypersensitivity	1203	Immune System
Neoplasms	1932	Neoplasms
Mesothelioma	2355	Neoplasms
Hypertension	212	Cardiovascular
Adenocarcinoma	1219	Neoplasms
Lung Diseases	608	Respiratory Tract
Graft vs Host Disease	1159	Immune System
Lung Diseases	212	Respiratory Tract
Arthritis	1130	Musculoskeletal
Leukemia	1390	Neoplasms
Myelodysplastic Syndromes	1390	Hemic and Lymphatic
Myocardial Ischemia	853	Cardiovascular
Coronary Artery Disease	853	Cardiovascular
Parkinson Disease	304	Nervous System
Osteoarthritis	487	Musculoskeletal
Depressive Disorder	1034	Mental Disorders
Hypersensitivity	1369	Immune System
Macular Edema	335	Eye
Neoplasms	1183	Neoplasms
Carcinoma	915	Neoplasms
Neoplasms	1241	Neoplasms
Keratoconjunctivitis Sicca	273	Eye
Dry Eye Syndromes	273	Eye
Migraine Disorders	549	Nervous System
Lung Diseases	245	Respiratory Tract
Fatty Liver	1008	Digestive System
Non-alcoholic Fatty Liver Disease	1008	Digestive System
Anxiety Disorders	914	Mental Disorders
Hypertension	884	Cardiovascular
Hypertension	243	Cardiovascular
Hepatitis	215	Digestive System
Virus Diseases	215	Infections
Colitis	884	Digestive System
Liver Diseases	274	Digestive System
Thrombocytopenia	274	Hemic and Lymphatic
Parkinson Disease	122	Nervous System
Hypertension	304	Cardiovascular
Osteoarthritis	517	Musculoskeletal
Neuroendocrine Tumors	974	Neoplasms
Hypertension	761	Cardiovascular
Acne Vulgaris	273	Skin and Connective Tissue
Hepatitis	549	Digestive System
Hepatitis	888	Digestive System
Adenocarcinoma	948	Neoplasms
Premature Birth	731	Female
Virus Diseases	669	Infections
Carcinoma	1826	Neoplasms
Carcinoma	862	Neoplasms
Macular Edema	457	Eye
Psoriasis	276	Skin and Connective Tissue
Melanoma	1127	Neoplasms
Attention Deficit Disorder with Hyperactivity	1050	Mental Disorders
Hepatitis	973	Digestive System
Lung Diseases	365	Respiratory Tract
Osteoarthritis	275	Musculoskeletal
Graft vs Host Disease	1370	Immune System
Parkinson Disease	1096	Nervous System
Leukemia	1157	Neoplasms
Graft vs Host Disease	1157	Immune System
Glioblastoma	1757	Neoplasms
Dermatitis	396	Skin and Connective Tissue
Eczema	396	Skin and Connective Tissue
Leukemia	6148	Neoplasms
Myeloproliferative Disorders	6148	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	6148	Hemic and Lymphatic
Dermatitis	334	Skin and Connective Tissue
Eczema	334	Skin and Connective Tissue
Parkinson Disease	365	Nervous System
Irritable Bowel Syndrome	1218	Digestive System
Hypertension	791	Cardiovascular
Hypertension	518	Cardiovascular
Neoplasms	1728	Neoplasms
Peripheral Nervous System Diseases	322	Nervous System
Attention Deficit Disorder with Hyperactivity	577	Mental Disorders
Hepatitis	245	Digestive System
Liver Diseases	597	Digestive System
Fatty Liver	597	Digestive System
Non-alcoholic Fatty Liver Disease	597	Digestive System
Metabolic Syndrome	597	Nutritional and Metabolic
Hypercholesterolemia	212	Nutritional and Metabolic
Heart Failure	524	Cardiovascular
Keratoconjunctivitis Sicca	153	Eye
Dry Eye Syndromes	153	Eye
Psoriasis	454	Skin and Connective Tissue
Carcinoma	639	Neoplasms
Hypertension	1338	Cardiovascular
Hypersensitivity	1487	Immune System
Tuberculosis	797	Infections
Coronary Artery Disease	1422	Cardiovascular
Lung Diseases	524	Respiratory Tract
Motor Neuron Disease	1187	Nervous System
Leukemia	549	Neoplasms
Myelodysplastic Syndromes	549	Hemic and Lymphatic
Keratosis	731	Skin and Connective Tissue
Parkinson Disease	274	Nervous System
Melanoma	1554	Neoplasms
Crohn Disease	639	Digestive System
Migraine Disorders	762	Nervous System
Adenocarcinoma	1729	Neoplasms
Hepatitis	304	Digestive System
Keratosis	912	Skin and Connective Tissue
Hypertension	913	Cardiovascular
Glioma	1339	Neoplasms
Depressive Disorder	1247	Mental Disorders
Hepatitis	273	Digestive System
Neoplasms	1671	Neoplasms
Hypercholesterolemia	1265	Nutritional and Metabolic
Sarcoma	589	Neoplasms
Primary Myelofibrosis	1236	Hemic and Lymphatic
Myeloproliferative Disorders	1236	Hemic and Lymphatic
Arthritis	365	Musculoskeletal
Hepatitis	456	Digestive System
Carcinoma	797	Neoplasms
Heart Failure	517	Cardiovascular
Parkinson Disease	1016	Nervous System
Melanoma	1391	Neoplasms
Keratosis	151	Skin and Connective Tissue
Anemia	334	Hemic and Lymphatic
Keratoconjunctivitis Sicca	365	Eye
Dry Eye Syndromes	365	Eye
Heart Failure	426	Cardiovascular
Hepatitis	1303	Digestive System
Liver Diseases	1303	Digestive System
Virus Diseases	1388	Infections
Hepatitis	731	Digestive System
Glaucoma	457	Eye
Ocular Hypertension	457	Eye
Hypertension	457	Cardiovascular
Lung Diseases	1249	Respiratory Tract
Lung Diseases	1826	Respiratory Tract
Malaria	273	Infections
Glioblastoma	1461	Neoplasms
Hepatitis	457	Digestive System
Virus Diseases	457	Infections
Attention Deficit Disorder with Hyperactivity	274	Mental Disorders
Osteoarthritis	517	Musculoskeletal
Keratoconjunctivitis Sicca	242	Eye
Dry Eye Syndromes	242	Eye
Virus Diseases	807	Infections
Arthritis	1461	Musculoskeletal
Psoriasis	480	Skin and Connective Tissue
Leukemia	957	Neoplasms
Myelodysplastic Syndromes	957	Hemic and Lymphatic
Arthritis	1069	Musculoskeletal
Melanoma	1157	Neoplasms
Peripheral Nervous System Diseases	615	Nervous System
Thrombocytopenia	991	Hemic and Lymphatic
Lung Diseases	569	Respiratory Tract
Virus Diseases	654	Infections
Hypertension	671	Cardiovascular
Hepatitis	455	Digestive System
Neuroendocrine Tumors	1734	Neoplasms
Keratosis	153	Skin and Connective Tissue
Leukemia	1157	Neoplasms
Melanoma	1254	Neoplasms
Neoplasms	1254	Neoplasms
Liver Diseases	334	Digestive System
Fatty Liver	334	Digestive System
Glaucoma	395	Eye
Ocular Hypertension	395	Eye
Hypertension	395	Cardiovascular
Macular Degeneration	212	Eye
Macular Edema	212	Eye
Carcinoma	1410	Neoplasms
Adenocarcinoma	1410	Neoplasms
Glioblastoma	1576	Neoplasms
Carcinoma	1505	Neoplasms
Neuroendocrine Tumors	1505	Neoplasms
Neoplasms	1505	Neoplasms
Fatty Liver	1064	Digestive System
Non-alcoholic Fatty Liver Disease	1064	Digestive System
Psoriasis	456	Skin and Connective Tissue
Head and Neck Neoplasms	1591	Neoplasms
Adenocarcinoma	1314	Neoplasms
Arthritis	662	Musculoskeletal
Fatty Liver	1237	Digestive System
Neuroendocrine Tumors	609	Neoplasms
Tuberculosis	973	Infections
Premature Birth	731	Female
Keratosis	121	Skin and Connective Tissue
Leukemia	1026	Neoplasms
Liver Diseases	365	Digestive System
Fatty Liver	365	Digestive System
Melanoma	1886	Neoplasms
Depressive Disorder	273	Mental Disorders
Osteoarthritis	365	Musculoskeletal
Leukemia	1724	Neoplasms
Myelodysplastic Syndromes	1724	Hemic and Lymphatic
Carcinoma	547	Neoplasms
Schizophrenia	335	Mental Disorders
Hepatitis	938	Digestive System
Virus Diseases	938	Infections
Acne Vulgaris	153	Skin and Connective Tissue
Liver Diseases	1251	Digestive System
Heart Failure	183	Cardiovascular
Arthritis	668	Musculoskeletal
Peripheral Nervous System Diseases	1096	Nervous System
Hepatitis	684	Digestive System
Hepatitis	826	Digestive System
Adenocarcinoma	1096	Neoplasms
Cholangiocarcinoma	1096	Neoplasms
Carcinoma	1441	Neoplasms
Glioblastoma	1441	Neoplasms
Squamous Cell Carcinoma of Head and Neck	1441	Neoplasms
Hepatitis	987	Digestive System
Virus Diseases	987	Infections
Tuberculosis	242	Infections
Macular Edema	578	Eye
Macular Degeneration	1157	Eye
Macular Edema	425	Eye
Liver Diseases	1035	Digestive System
Fatty Liver	1035	Digestive System
Non-alcoholic Fatty Liver Disease	1035	Digestive System
Attention Deficit Disorder with Hyperactivity	1359	Mental Disorders
Neoplasms	913	Neoplasms
Melanoma	1663	Neoplasms
Melanoma	1690	Neoplasms
Virus Diseases	427	Infections
Arthritis	578	Musculoskeletal
Leukemia	771	Neoplasms
Primary Myelofibrosis	610	Hemic and Lymphatic
Myeloproliferative Disorders	610	Hemic and Lymphatic
Neoplasms	610	Neoplasms
Glioblastoma	1421	Neoplasms
Leukemia	518	Neoplasms
Graft vs Host Disease	518	Immune System
Colitis	335	Digestive System
Parkinson Disease	599	Nervous System
Cognitive Dysfunction	993	Mental Disorders
Metabolic Syndrome	365	Nutritional and Metabolic
Hypersensitivity	365	Immune System
Carcinoma	1050	Neoplasms
Hepatitis	1096	Digestive System
Dermatitis	336	Skin and Connective Tissue
Eczema	336	Skin and Connective Tissue
Leukemia	1644	Neoplasms
Hepatitis	544	Digestive System
Adenocarcinoma	1490	Neoplasms
Neoplasms	627	Neoplasms
Glioblastoma	1594	Neoplasms
Glioma	1594	Neoplasms
Tuberculosis	896	Infections
Schizophrenia	581	Mental Disorders
Arthritis	488	Musculoskeletal
Metabolic Syndrome	365	Nutritional and Metabolic
Premature Birth	1229	Female
Colitis	1636	Digestive System
Adenocarcinoma	865	Neoplasms
Irritable Bowel Syndrome	184	Digestive System
Arthritis	1536	Musculoskeletal
Leukemia	1127	Neoplasms
Myelodysplastic Syndromes	1127	Hemic and Lymphatic
Bipolar Disorder	700	Mental Disorders
Lung Diseases	391	Respiratory Tract
Hypertension	273	Cardiovascular
Adenocarcinoma	471	Neoplasms
Dermatitis	378	Skin and Connective Tissue
Eczema	378	Skin and Connective Tissue
Psoriasis	1126	Skin and Connective Tissue
Mesothelioma	1215	Neoplasms
Macular Edema	974	Eye
Hepatitis	486	Digestive System
Arthritis	433	Musculoskeletal
Heart Failure	182	Cardiovascular
Carcinoma	775	Neoplasms
Epilepsy	425	Nervous System
Leukemia	1408	Neoplasms
Hypersensitivity	1339	Immune System
Crohn Disease	1174	Digestive System
Psoriasis	882	Skin and Connective Tissue
Cardiovascular Diseases	1581	Cardiovascular
Migraine Disorders	823	Nervous System
Hypertension	456	Cardiovascular
Leukemia	1255	Neoplasms
Head and Neck Neoplasms	1196	Neoplasms
Epilepsy	392	Nervous System
Dermatitis	365	Skin and Connective Tissue
Eczema	365	Skin and Connective Tissue
Keratoconjunctivitis Sicca	121	Eye
Dry Eye Syndromes	121	Eye
Attention Deficit Disorder with Hyperactivity	640	Mental Disorders
Irritable Bowel Syndrome	1035	Digestive System
Leukemia	1544	Neoplasms
Virus Diseases	274	Infections
Tuberculosis	181	Infections
Liver Diseases	419	Digestive System
Fatty Liver	419	Digestive System
Non-alcoholic Fatty Liver Disease	419	Digestive System
Colitis	1254	Digestive System
Neoplasms	678	Neoplasms
Keratosis	184	Skin and Connective Tissue
Metabolic Syndrome	517	Nutritional and Metabolic
Melanoma	1521	Neoplasms
Liver Diseases	268	Digestive System
Fatty Liver	268	Digestive System
Non-alcoholic Fatty Liver Disease	268	Digestive System
Macular Degeneration	595	Eye
Peripheral Nervous System Diseases	457	Nervous System
Hepatitis	885	Digestive System
Macular Degeneration	641	Eye
Glaucoma	304	Eye
Ocular Hypertension	304	Eye
Hypertension	304	Cardiovascular
Macular Degeneration	578	Eye
Depressive Disorder	1448	Mental Disorders
Premature Birth	1180	Female
Heart Diseases	1180	Cardiovascular
Myocardial Ischemia	1180	Cardiovascular
Coronary Artery Disease	1180	Cardiovascular
Virus Diseases	459	Infections
Carcinoma	3013	Neoplasms
Melanoma	1020	Neoplasms
Virus Diseases	1024	Infections
Macular Edema	1004	Eye
Glioblastoma	1515	Neoplasms
Hepatitis	1192	Digestive System
Keratoconjunctivitis Sicca	221	Eye
Dry Eye Syndromes	221	Eye
Tuberculosis	1359	Infections
Crohn Disease	871	Digestive System
Liver Diseases	829	Digestive System
Fatty Liver	829	Digestive System
Non-alcoholic Fatty Liver Disease	829	Digestive System
Hepatitis	823	Digestive System
Leukemia	839	Neoplasms
Metabolic Syndrome	699	Nutritional and Metabolic
Tuberculosis	184	Infections
Malaria	120	Infections
Malaria	458	Infections
Crohn Disease	731	Digestive System
Tuberculosis	884	Infections
Adenocarcinoma	1347	Neoplasms
Hypertension	792	Cardiovascular
Hepatitis	883	Digestive System
Carcinoma	2227	Neoplasms
Osteoarthritis	539	Musculoskeletal
Glaucoma	915	Eye
Hypersensitivity	548	Immune System
Osteoarthritis	488	Musculoskeletal
Acne Vulgaris	488	Skin and Connective Tissue
Autistic Disorder	1187	Mental Disorders
Adenocarcinoma	1503	Neoplasms
Virus Diseases	148	Infections
Arthritis	427	Musculoskeletal
Psoriasis	757	Skin and Connective Tissue
Adenocarcinoma	1949	Neoplasms
Glaucoma	1504	Eye
Ocular Hypertension	1504	Eye
Hypertension	1504	Cardiovascular
Leukemia	852	Neoplasms
Depressive Disorder	958	Mental Disorders
Crohn Disease	580	Digestive System
Virus Diseases	420	Infections
Virus Diseases	344	Infections
Arthritis	719	Musculoskeletal
Melanoma	1430	Neoplasms
Premature Birth	1157	Female
Leukemia	1491	Neoplasms
Tuberculosis	590	Infections
Psoriasis	303	Skin and Connective Tissue
Fatty Liver	773	Digestive System
Non-alcoholic Fatty Liver Disease	773	Digestive System
Hepatitis	275	Digestive System
Virus Diseases	275	Infections
Tuberculosis	761	Infections
Virus Diseases	949	Infections
Parkinson Disease	1126	Nervous System
Leukemia	756	Neoplasms
Fatty Liver	392	Digestive System
Non-alcoholic Fatty Liver Disease	392	Digestive System
Carcinoma	1452	Neoplasms
Hepatitis	253	Digestive System
Thrombocytopenia	1065	Hemic and Lymphatic
Head and Neck Neoplasms	1068	Neoplasms
Cognitive Dysfunction	519	Mental Disorders
Cognitive Dysfunction	580	Mental Disorders
Dermatitis	276	Skin and Connective Tissue
Eczema	276	Skin and Connective Tissue
Parkinson Disease	366	Nervous System
Carcinoma	1024	Neoplasms
Attention Deficit Disorder with Hyperactivity	457	Mental Disorders
Myelodysplastic Syndromes	1369	Hemic and Lymphatic
Leukemia	427	Neoplasms
Liver Diseases	306	Digestive System
Fatty Liver	306	Digestive System
Non-alcoholic Fatty Liver Disease	306	Digestive System
Depressive Disorder	1674	Mental Disorders
Head and Neck Neoplasms	1155	Neoplasms
Mesothelioma	1155	Neoplasms
Carcinoma	1279	Neoplasms
Cardiovascular Diseases	275	Cardiovascular
Macular Degeneration	579	Eye
Attention Deficit Disorder with Hyperactivity	442	Mental Disorders
Carcinoma	1096	Neoplasms
Anemia	848	Hemic and Lymphatic
Acne Vulgaris	184	Skin and Connective Tissue
Hepatitis	762	Digestive System
Neoplasms	1644	Neoplasms
Psoriasis	912	Skin and Connective Tissue
Dermatitis	366	Skin and Connective Tissue
Eczema	366	Skin and Connective Tissue
Hypercholesterolemia	730	Nutritional and Metabolic
Anemia	833	Hemic and Lymphatic
Hypersensitivity	1441	Immune System
Hepatitis	365	Digestive System
Hepatitis	927	Digestive System
Arthritis	731	Musculoskeletal
Acne Vulgaris	366	Skin and Connective Tissue
Neoplasms	1310	Neoplasms
Malaria	519	Infections
Psoriasis	273	Skin and Connective Tissue
Anxiety Disorders	1151	Mental Disorders
Carcinoma	1591	Neoplasms
Arthritis	396	Musculoskeletal
Adenocarcinoma	792	Neoplasms
Keratoconjunctivitis Sicca	214	Eye
Dry Eye Syndromes	214	Eye
Carcinoma	1245	Neoplasms
Neoplasms	1245	Neoplasms
Parkinson Disease	245	Nervous System
Leukemia	621	Neoplasms
Carcinoma	1155	Neoplasms
Adenocarcinoma	552	Neoplasms
Neuroblastoma	1602	Neoplasms
Neuroendocrine Tumors	1602	Neoplasms
Neoplasms	1602	Neoplasms
Hepatitis	1576	Digestive System
Adenocarcinoma	1429	Neoplasms
Osteoarthritis	488	Musculoskeletal
Hepatitis	641	Digestive System
Osteoarthritis	550	Musculoskeletal
Colitis	959	Digestive System
Adenocarcinoma	588	Neoplasms
Carcinoma	2377	Neoplasms
Virus Diseases	1340	Infections
Leukemia	1347	Neoplasms
Myelodysplastic Syndromes	1347	Hemic and Lymphatic
Adenocarcinoma	1282	Neoplasms
Macular Edema	1004	Eye
Carcinoma	1127	Neoplasms
Hypertension	214	Cardiovascular
Motor Neuron Disease	976	Nervous System
Leukemia	1518	Neoplasms
Neoplasms	373	Neoplasms
Depressive Disorder	914	Mental Disorders
Virus Diseases	486	Infections
Myelodysplastic Syndromes	950	Hemic and Lymphatic
Carcinoma	1442	Neoplasms
Malaria	943	Infections
Carcinoma	1157	Neoplasms
Squamous Cell Carcinoma of Head and Neck	1157	Neoplasms
Heart Failure	715	Cardiovascular
Dyslipidemias	1171	Nutritional and Metabolic
Dermatitis	184	Skin and Connective Tissue
Eczema	184	Skin and Connective Tissue
Malaria	1673	Infections
Heart Failure	423	Cardiovascular
Carcinoma	1246	Neoplasms
Schizophrenia	243	Mental Disorders
Graft vs Host Disease	1035	Immune System
Depressive Disorder	549	Mental Disorders
Malaria	488	Infections
Motor Neuron Disease	973	Nervous System
Hepatitis	549	Digestive System
Psoriasis	274	Skin and Connective Tissue
Metabolic Syndrome	4352	Nutritional and Metabolic
Autistic Disorder	640	Mental Disorders
Arthritis	890	Musculoskeletal
Premature Birth	1127	Female
Conjunctivitis	518	Eye
Macular Degeneration	379	Eye
Autistic Disorder	336	Mental Disorders
Malaria	183	Infections
Melanoma	1313	Neoplasms
Fatty Liver	455	Digestive System
Non-alcoholic Fatty Liver Disease	455	Digestive System
Macular Degeneration	1277	Eye
Malaria	366	Infections
Hepatitis	575	Digestive System
Hypertension	853	Cardiovascular
Tuberculosis	580	Infections
Dermatitis	305	Skin and Connective Tissue
Eczema	305	Skin and Connective Tissue
Glaucoma	275	Eye
Ocular Hypertension	275	Eye
Hypertension	275	Cardiovascular
Fatty Liver	491	Digestive System
Non-alcoholic Fatty Liver Disease	491	Digestive System
